"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa"
"Itin_YS146.v1.contig_123_pilon.g043920.t1","1.148","0.676","0.670","0.454","0.740","1.793","1.783","2.084","0.808","0.455","0.688","0.759","2.120","2.098","2.134","0.145","","2.115","0.739","0.798","0.638","0.777","0.666","0.710","0.770","1.491","0.659","2.416","0.798","0.710","2.101","0.749","0.666","2.408","1.852","0.759","0.768","2.509","0.825"
"Itin_YS146.v1.contig_123_pilon.g043970.t1","1.141","0.669","0.663","0.447","0.733","1.786","1.776","2.077","0.801","0.448","0.681","0.752","2.113","2.091","2.127","0.138","","2.108","0.732","0.791","0.631","0.770","0.659","0.703","0.763","1.485","0.652","2.409","0.791","0.703","2.094","0.742","0.659","2.401","1.845","0.752","0.761","2.502","0.818"
"Aameric_YS121.v1.contig_697_pilon.g242260.t1","","1.127","1.151","1.137","1.221","1.682","1.672","1.973","1.135","1.138","1.169","1.087","2.009","1.988","2.024","1.152","1.141","2.005","1.220","1.266","1.118","1.258","1.146","1.098","1.097","1.381","1.139","2.305","1.266","1.096","1.990","1.211","1.146","2.297","1.741","1.207","1.230","2.398","1.210"
"Shelov_YS99.v1.contig_44_pilon.g156480.t1","0.954","0.554","1.569","1.194","0.559","1.869","1.858","2.160","1.553","1.194","0.717","1.504","2.195","2.174","2.210","1.215","1.210","2.191","0.363","0.301","0.699","0.819","1.564","0.705","1.515","0.631","0.363","2.491","0.293","0.556","2.176","","1.564","2.483","1.927","0.786","1.648","2.584","1.628"
"Shelov_YS99.v1.contig_44_pilon.g156860.t1","0.929","0.528","1.543","1.169","0.533","1.843","1.833","2.134","1.527","1.169","0.691","1.479","2.170","2.148","2.184","1.189","1.185","2.165","0.338","0.275","0.673","0.793","1.539","0.679","1.489","0.606","0.338","2.466","0.268","0.531","2.151","","1.539","2.457","1.902","0.760","1.622","2.559","1.603"
"Shelov_YS99.v1.contig_44_pilon.g156820.t1","0.945","0.545","1.560","1.185","0.550","1.860","1.849","2.151","1.544","1.185","0.708","1.495","2.186","2.165","2.201","1.206","1.201","2.182","0.354","0.292","0.690","0.810","1.555","0.696","1.506","0.622","0.354","2.482","0.284","0.547","2.167","","1.555","2.474","1.918","0.777","1.639","2.575","1.619"
"Shelov_YS99.v1.contig_44_pilon.g156910.t1","0.950","0.550","1.564","1.190","0.555","1.864","1.854","2.156","1.549","1.190","0.713","1.500","2.191","2.170","2.206","1.210","1.206","2.187","0.359","0.297","0.695","0.814","1.560","0.700","1.511","0.627","0.359","2.487","0.289","0.552","2.172","","1.560","2.479","1.923","0.782","1.644","2.580","1.624"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g178640.t1","0.953","0.552","1.567","1.193","0.557","1.867","1.857","2.158","1.551","1.193","0.715","1.503","2.193","2.172","2.208","1.213","1.209","2.189","0.362","0.013","0.697","0.817","1.563","0.703","1.513","0.629","0.362","2.490","","0.555","2.174","0.268","1.563","2.481","1.926","0.784","1.646","2.583","1.627"
"Matro_YS75.v1.contig_63_pilon.g253520.t1","0.960","0.560","1.575","1.200","0.565","1.875","1.864","2.166","1.559","1.200","0.723","1.511","2.201","2.180","2.216","1.221","1.216","2.197","0.369","","0.705","0.825","1.570","0.711","1.521","0.637","0.369","2.497","0.013","0.563","2.182","0.275","1.570","2.489","1.933","0.792","1.654","2.591","1.634"
"Plun_YS103.v1.contig_735_pilon.g212030.t1","0.921","0.520","1.535","1.161","0.525","1.835","1.825","2.126","1.519","1.161","0.683","1.471","2.162","2.140","2.176","1.181","1.177","2.157","0.000","0.373","0.665","0.785","1.531","0.671","1.481","0.598","","2.458","0.365","0.523","2.143","0.341","1.531","2.450","1.894","0.752","1.614","2.551","1.595"
"Lpur_YS149.v1.contig_483_pilon.g174670.t1","0.921","0.520","1.535","1.161","0.525","1.835","1.825","2.126","1.519","1.161","0.683","1.471","2.162","2.140","2.176","1.181","1.177","2.157","","0.373","0.665","0.785","1.531","0.671","1.481","0.598","0.000","2.458","0.365","0.523","2.143","0.341","1.531","2.450","1.894","0.752","1.614","2.551","1.595"
"Lpur_YS149.v1.contig_483_pilon.g174660.t1","0.924","0.523","1.538","1.164","0.528","1.838","1.828","2.129","1.522","1.164","0.686","1.474","2.164","2.143","2.179","1.184","1.180","2.160","","0.376","0.668","0.788","1.534","0.674","1.484","0.600","0.259","2.461","0.368","0.526","2.145","0.344","1.534","2.452","1.897","0.755","1.617","2.554","1.597"
"Plun_YS103.v1.contig_735_pilon.g211970.t1","0.917","0.517","1.532","1.157","0.522","1.832","1.821","2.123","1.516","1.157","0.680","1.468","2.158","2.137","2.173","1.178","1.173","2.154","0.000","0.369","0.662","0.782","1.527","0.668","1.478","0.594","","2.454","0.362","0.520","2.139","0.338","1.527","2.446","1.890","0.749","1.611","2.548","1.591"
"Lpur_YS149.v1.contig_483_pilon.g174630.t1","0.917","0.517","1.532","1.157","0.522","1.832","1.821","2.123","1.516","1.157","0.680","1.468","2.158","2.137","2.173","1.178","1.173","2.154","","0.369","0.662","0.782","1.527","0.668","1.478","0.594","0.000","2.454","0.362","0.520","2.139","0.338","1.527","2.446","1.890","0.749","1.611","2.548","1.591"
"Ptet_YS159.v1.contig_236_pilon.g029690.t1","0.886","0.486","1.500","1.126","0.490","1.800","1.790","2.091","1.485","1.126","0.648","1.436","2.127","2.106","2.142","1.146","1.142","2.122","0.523","0.566","0.631","0.750","1.496","0.636","1.446","0.563","0.523","2.423","0.558","","2.108","0.534","1.496","2.415","1.859","0.718","1.579","2.516","1.560"
"Ptet_YS159.v1.contig_236_pilon.g029650.t1","0.883","0.482","1.497","1.122","0.487","1.797","1.787","2.088","1.481","1.122","0.645","1.433","2.123","2.102","2.138","1.143","1.139","2.119","0.520","0.563","0.627","0.747","1.493","0.633","1.443","0.559","0.520","2.419","0.555","","2.104","0.531","1.492","2.411","1.855","0.714","1.576","2.513","1.556"
"Ccin_YS129.v1.contig_1010_pilon.g001350.t1","0.912","0.359","1.527","1.152","","1.827","1.816","2.118","1.511","1.152","0.675","1.463","2.153","2.132","2.168","1.173","1.169","2.149","0.599","0.642","0.657","0.777","1.522","0.663","1.473","0.589","0.599","2.449","0.635","0.565","2.134","0.611","1.522","2.441","1.885","0.744","1.606","2.543","1.586"
"Ccin_YS129.v1.contig_1010_pilon.g001420.t1","0.950","0.396","1.564","1.190","","1.864","1.854","2.155","1.549","1.190","0.712","1.500","2.191","2.169","2.205","1.210","1.206","2.186","0.637","0.680","0.695","0.814","1.560","0.700","1.510","0.627","0.637","2.487","0.672","0.602","2.172","0.648","1.560","2.479","1.923","0.781","1.643","2.580","1.624"
"Ccin_YS129.v1.contig_1010_pilon.g001430.t1","0.885","0.331","1.499","1.125","","1.799","1.789","2.090","1.483","1.125","0.647","1.435","2.125","2.104","2.140","1.145","1.141","2.121","0.572","0.615","0.629","0.749","1.495","0.635","1.445","0.561","0.572","2.421","0.607","0.537","2.106","0.583","1.495","2.413","1.858","0.716","1.578","2.515","1.558"
"Ccin_YS129.v1.contig_1010_pilon.g001320.t1","0.846","0.293","1.460","1.086","","1.760","1.750","2.052","1.445","1.086","0.609","1.396","2.087","2.066","2.102","1.106","1.102","2.083","0.533","0.576","0.591","0.710","1.456","0.596","1.407","0.523","0.533","2.383","0.568","0.498","2.068","0.545","1.456","2.375","1.819","0.678","1.540","2.476","1.520"
"Abit_YS124.v1.contig_835_pilon.g231930.t1","0.908","","1.522","1.147","0.301","1.822","1.812","2.113","1.506","1.147","0.670","1.458","2.148","2.127","2.163","1.168","1.164","2.144","0.595","0.638","0.652","0.772","1.518","0.658","1.468","0.584","0.595","2.444","0.630","0.560","2.129","0.606","1.517","2.436","1.881","0.739","1.601","2.538","1.581"
"Abit_YS124.v1.contig_835_pilon.g231890.t1","0.899","","1.514","1.139","0.293","1.814","1.804","2.105","1.498","1.139","0.662","1.450","2.140","2.119","2.155","1.160","1.156","2.136","0.587","0.630","0.644","0.764","1.509","0.650","1.460","0.576","0.587","2.436","0.622","0.552","2.121","0.598","1.509","2.428","1.872","0.731","1.593","2.530","1.573"
"Ccin_YS129.v1.contig_1008_pilon.g000970.t1","0.894","0.251","1.508","1.134","","1.808","1.798","2.099","1.493","1.134","0.656","1.444","2.135","2.114","2.150","1.154","1.150","2.131","0.581","0.624","0.639","0.758","1.504","0.644","1.454","0.571","0.581","2.431","0.616","0.546","2.116","0.592","1.504","2.423","1.867","0.726","1.588","2.524","1.568"
"Ccin_YS129.v1.contig_1008_pilon.g000960.t1","0.842","0.199","1.457","1.082","","1.757","1.746","2.048","1.441","1.082","0.605","1.393","2.083","2.062","2.098","1.103","1.099","2.079","0.529","0.572","0.587","0.707","1.452","0.593","1.403","0.519","0.529","2.379","0.565","0.495","2.064","0.541","1.452","2.371","1.815","0.674","1.536","2.473","1.516"
"Ccin_YS129.v1.contig_1010_pilon.g001370.t1","0.867","0.224","1.481","1.107","","1.781","1.771","2.072","1.466","1.107","0.629","1.417","2.108","2.087","2.123","1.127","1.123","2.104","0.554","0.597","0.612","0.731","1.477","0.617","1.427","0.544","0.554","2.404","0.589","0.519","2.089","0.565","1.477","2.396","1.840","0.699","1.560","2.497","1.541"
"Ccin_YS129.v1.contig_1008_pilon.g001000.t1","0.835","0.192","1.449","1.075","","1.749","1.739","2.040","1.433","1.075","0.597","1.385","2.076","2.054","2.090","1.095","1.091","2.071","0.522","0.565","0.580","0.699","1.445","0.585","1.395","0.512","0.522","2.372","0.557","0.487","2.057","0.533","1.445","2.364","1.808","0.666","1.528","2.465","1.509"
"Abit_YS124.v1.contig_835_pilon.g231730.t1","0.830","","1.444","1.070","0.192","1.744","1.734","2.035","1.429","1.070","0.592","1.380","2.071","2.050","2.086","1.090","1.086","2.067","0.517","0.560","0.575","0.694","1.440","0.580","1.390","0.507","0.517","2.367","0.552","0.482","2.052","0.528","1.440","2.359","1.803","0.662","1.524","2.460","1.504"
"Plobssplob_YS90.hap1.v1.h1tg000007l.g180720.t1","0.880","0.507","1.494","1.120","0.512","1.794","1.784","2.085","1.478","1.120","0.642","1.430","2.120","2.099","2.135","1.140","1.136","2.116","0.594","0.637","0.624","0.744","1.490","0.630","1.440","","0.594","2.417","0.629","0.559","2.101","0.606","1.490","2.408","1.853","0.711","1.573","2.510","1.553"
"Shelov_YS99.v1.contig_44_pilon.g157750.t1","0.963","0.697","1.577","1.203","0.702","1.877","1.867","2.168","1.562","1.203","0.634","1.513","2.204","2.183","2.219","1.223","1.219","2.200","0.784","0.767","0.514","0.527","1.573","0.652","1.523","0.747","0.784","2.500","0.820","0.647","2.185","","1.573","2.492","1.936","0.368","1.657","2.593","1.637"
"Shelov_YS99.v1.contig_44_pilon.g156670.t1","0.970","0.704","1.584","1.210","0.709","1.884","1.874","2.175","1.568","1.210","0.641","1.520","2.211","2.189","2.225","1.230","1.226","2.206","0.791","0.774","0.521","0.534","1.580","0.659","1.530","0.753","0.791","2.507","0.826","0.654","2.192","","1.580","2.499","1.943","0.375","1.663","2.600","1.644"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g148100.t1","0.928","0.662","1.542","1.168","0.666","1.842","1.832","2.133","1.526","1.168","0.598","1.478","2.168","2.147","2.183","1.188","1.184","2.164","0.749","0.732","0.478","0.492","1.538","0.617","1.488","0.711","0.749","2.465","0.784","0.612","2.149","0.368","1.538","2.456","1.901","","1.621","2.558","1.602"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g148080.t1","0.966","0.700","1.581","1.206","0.705","1.881","1.870","2.172","1.565","1.206","0.637","1.517","2.207","2.186","2.222","1.227","1.223","2.203","0.788","0.770","0.517","0.401","1.576","0.655","1.527","0.750","0.788","2.503","0.823","0.650","2.188","0.533","1.576","2.495","1.939","","1.660","2.597","1.640"
"Mlat_YS84.v1.contig_226_pilon.g083660.t1","0.960","0.694","1.575","1.200","0.699","1.875","1.864","2.166","1.559","1.200","0.631","1.511","2.201","2.180","2.216","1.221","1.217","2.197","0.782","0.764","0.511","","1.570","0.649","1.521","0.744","0.782","2.497","0.817","0.644","2.182","0.527","1.570","2.489","1.933","0.401","1.654","2.591","1.634"
"Maxil_YS73.v1.contig_253_pilon.g200760.t1","0.882","0.616","1.497","1.122","0.621","1.797","1.786","2.088","1.481","1.122","0.553","1.432","2.123","2.102","2.138","1.143","1.138","2.119","0.704","0.686","","0.524","1.492","0.571","1.443","0.666","0.704","2.419","0.739","0.566","2.104","0.527","1.492","2.411","1.855","0.492","1.576","2.512","1.556"
"Maxil_YS73.v1.contig_253_pilon.g200770.t1","0.869","0.603","1.483","1.109","0.608","1.783","1.773","2.075","1.468","1.109","0.540","1.419","2.110","2.089","2.125","1.129","1.125","2.106","0.690","0.673","","0.511","1.479","0.558","1.430","0.653","0.690","2.406","0.726","0.553","2.091","0.514","1.479","2.398","1.842","0.478","1.563","2.499","1.543"
"Maxil_YS73.v1.contig_253_pilon.g200790.t1","0.895","0.629","1.509","1.135","0.634","1.809","1.799","2.101","1.494","1.135","0.566","1.445","2.136","2.115","2.151","1.155","1.151","2.132","0.717","0.699","","0.537","1.505","0.584","1.456","0.679","0.717","2.432","0.752","0.579","2.117","0.540","1.505","2.424","1.868","0.505","1.589","2.525","1.569"
"Maxil_YS73.v1.contig_153_pilon.g047260.t1","0.906","0.640","1.521","1.146","0.645","1.821","1.810","2.112","1.505","1.146","0.577","1.456","2.147","2.126","2.162","1.167","1.162","2.143","0.728","0.710","","0.548","1.516","0.595","1.467","0.690","0.728","2.443","0.763","0.590","2.128","0.551","1.516","2.435","1.879","0.516","1.600","2.536","1.580"
"Duni_YS76.v1.contig_728_pilon.g241790.t1","0.858","0.592","1.473","1.098","0.597","1.773","1.763","2.064","1.457","1.098","","1.409","2.099","2.078","2.114","1.119","1.115","2.095","0.680","0.662","0.540","0.631","1.468","0.548","1.419","0.642","0.680","2.395","0.715","0.542","2.080","0.616","1.468","2.387","1.831","0.598","1.552","2.489","1.532"
"Shelov_YS99.v1.contig_45_pilon.g158430.t1","0.915","0.649","1.529","1.155","0.654","1.829","1.819","2.120","1.514","1.155","0.616","1.465","2.156","2.135","2.171","1.175","1.171","2.152","0.736","0.280","0.365","0.718","1.525","0.508","1.475","0.699","0.736","2.452","0.772","0.505","2.137","","1.525","2.444","1.888","0.335","1.609","2.545","1.589"
"Shelov_YS99.v1.contig_45_pilon.g158450.t1","0.924","0.658","1.538","1.164","0.663","1.838","1.828","2.129","1.523","1.164","0.625","1.474","2.165","2.144","2.180","1.184","1.180","2.161","0.745","0.289","0.374","0.727","1.534","0.517","1.484","0.708","0.745","2.461","0.781","0.514","2.146","","1.534","2.453","1.897","0.344","1.618","2.554","1.598"
"Shelov_YS99.v1.contig_45_pilon.g158490.t1","0.935","0.669","1.549","1.175","0.673","1.849","1.839","2.140","1.533","1.175","0.636","1.485","2.175","2.154","2.190","1.195","1.191","2.171","0.756","0.300","0.384","0.738","1.545","0.528","1.495","0.718","0.756","2.472","0.791","0.525","2.156","","1.545","2.463","1.908","0.354","1.628","2.565","1.608"
"Matro_YS75.v1.contig_429_pilon.g175940.t1","0.961","0.695","1.576","1.201","0.700","1.876","1.865","2.167","1.560","1.201","0.662","1.511","2.202","2.181","2.217","1.222","1.217","2.198","0.783","","0.411","0.764","1.571","0.554","1.522","0.745","0.783","2.498","0.818","0.551","2.183","0.280","1.571","2.490","1.934","0.381","1.655","2.591","1.635"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g145580.t1","0.932","0.666","1.547","1.172","0.671","1.847","1.836","2.138","1.531","1.172","0.634","1.483","2.173","2.152","2.188","1.193","1.189","2.169","0.754","0.381","0.382","0.736","1.542","0.526","1.493","0.716","0.754","2.469","0.789","0.522","2.154","0.335","1.542","2.461","1.905","","1.626","2.563","1.606"
"Maxil_YS73.v1.contig_103_pilon.g001600.t1","0.841","0.575","1.455","1.081","0.580","1.755","1.745","2.046","1.439","1.081","0.542","1.391","2.081","2.060","2.096","1.101","1.097","2.077","0.662","0.411","","0.644","1.451","0.434","1.401","0.624","0.662","2.378","0.697","0.431","2.063","0.365","1.451","2.369","1.814","0.382","1.534","2.471","1.515"
"Ptet_YS159.v1.contig_236_pilon.g027920.t1","0.843","0.577","1.457","1.083","0.582","1.757","1.747","2.049","1.442","1.083","0.544","1.393","2.084","2.063","2.099","1.103","1.099","2.080","0.664","0.551","0.431","0.646","1.453","0.003","1.404","0.627","0.664","2.380","0.700","","2.065","0.505","1.453","2.372","1.816","0.522","1.537","2.473","1.517"
"Msam_YS158.v1.contig_905.g208590.t1","0.846","0.580","1.461","1.086","0.585","1.761","1.750","2.052","1.445","1.086","0.548","1.397","2.087","2.066","2.102","1.107","1.102","2.083","0.668","0.554","0.434","0.649","1.456","","1.407","0.630","0.668","2.383","0.703","0.003","2.068","0.508","1.456","2.375","1.819","0.526","1.540","2.477","1.520"
"Ptet_YS159.v1.contig_327_pilon.g060450.t1","0.841","0.575","1.455","1.081","0.580","1.755","1.745","2.047","1.440","1.081","0.542","1.391","2.082","2.061","2.097","1.101","1.097","2.078","0.663","0.598","0.477","0.644","1.451","0.483","1.402","0.625","0.663","2.378","0.698","","2.063","0.552","1.451","2.370","1.814","0.569","1.535","2.471","1.515"
"Shelov_YS99.v1.contig_44_pilon.g156900.t1","0.743","0.198","1.357","0.983","0.678","1.657","1.647","1.949","1.342","0.983","0.702","1.293","1.984","1.963","1.999","1.003","0.999","1.980","0.760","0.803","0.684","0.803","1.353","0.689","1.304","0.723","0.760","2.280","0.796","0.684","1.965","","1.353","2.272","1.716","0.771","1.437","2.373","1.417"
"Abit_YS124.v1.contig_314_pilon.g053600.t1","0.735","","1.349","0.975","0.670","1.649","1.639","1.940","1.334","0.975","0.693","1.285","1.976","1.954","1.990","0.995","0.991","1.971","0.752","0.795","0.675","0.795","1.345","0.681","1.295","0.714","0.752","2.272","0.787","0.676","1.957","0.198","1.345","2.264","1.708","0.762","1.428","2.365","1.409"
"Aameric_YS121.v1.contig_317_pilon.g140060.t1","","0.735","1.368","0.994","0.835","1.668","1.658","1.960","1.353","0.994","0.858","1.304","1.995","1.974","2.010","1.014","1.010","1.991","0.917","0.960","0.841","0.960","1.364","0.846","1.315","0.880","0.917","2.291","0.953","0.841","1.976","0.743","1.364","2.283","1.727","0.928","1.448","2.384","1.428"
"Itin_YS146.v1.contig_123_pilon.g043390.t1","1.044","1.025","1.474","0.517","1.125","1.774","1.764","2.065","1.459","0.517","1.149","1.410","2.101","2.080","2.116","0.061","","2.097","1.207","1.250","1.131","1.251","1.470","1.136","1.420","1.170","1.207","2.397","1.243","1.131","2.082","1.033","1.470","2.389","1.833","1.218","1.554","2.490","1.534"
"Isuf_YS112.v1.contig_1968_pilon.g023220.t1","1.030","1.010","1.460","0.502","1.110","1.760","1.750","2.051","1.444","0.502","1.134","1.396","2.086","2.065","2.101","","0.061","2.082","1.193","1.236","1.116","1.236","1.455","1.122","1.406","1.155","1.193","2.382","1.228","1.117","2.067","1.019","1.455","2.374","1.818","1.203","1.539","2.476","1.519"
"Itin_YS146.v1.contig_123_pilon.g043380.t1","1.045","1.026","1.475","0.517","1.126","1.775","1.765","2.066","1.459","0.517","1.149","1.411","2.102","2.080","2.116","0.065","","2.097","1.208","1.251","1.132","1.251","1.471","1.137","1.421","1.171","1.208","2.398","1.244","1.132","2.083","1.034","1.471","2.389","1.834","1.219","1.554","2.491","1.535"
"Isuf_YS112.v1.contig_1968_pilon.g023260.t1","1.064","1.045","1.494","0.536","1.145","1.794","1.784","2.085","1.478","0.536","1.168","1.430","2.120","2.099","2.135","","0.065","2.116","1.227","1.270","1.151","1.270","1.490","1.156","1.440","1.190","1.227","2.417","1.263","1.151","2.101","1.053","1.490","2.408","1.853","1.238","1.573","2.510","1.554"
"Isuf_YS112.v1.contig_1968_pilon.g023330.t1","1.095","1.076","1.525","0.568","1.176","1.825","1.815","2.116","1.510","0.568","1.200","1.461","2.152","2.131","2.167","","0.341","2.148","1.259","1.302","1.182","1.302","1.521","1.188","1.471","1.221","1.259","2.448","1.294","1.182","2.133","1.084","1.521","2.440","1.884","1.269","1.605","2.541","1.585"
"Isuf_YS112.v1.contig_1968_pilon.g023240.t1","1.149","1.130","1.579","0.622","1.230","1.879","1.869","2.170","1.564","0.622","1.254","1.515","2.206","2.185","2.221","","0.395","2.202","1.313","1.356","1.236","1.356","1.575","1.242","1.525","1.275","1.313","2.502","1.348","1.236","2.187","1.138","1.575","2.494","1.938","1.323","1.659","2.595","1.639"
"Itin_YS146.v1.contig_123_pilon.g043370.t1","1.074","1.055","1.504","0.546","1.155","1.804","1.794","2.095","1.488","0.546","1.178","1.440","2.130","2.109","2.145","0.341","","2.126","1.237","1.280","1.161","1.280","1.500","1.166","1.450","1.200","1.237","2.427","1.273","1.161","2.111","1.063","1.500","2.418","1.863","1.248","1.583","2.520","1.564"
"Itin_YS146.v1.contig_123_pilon.g043340.t1","1.010","0.991","1.440","0.483","1.091","1.740","1.730","2.031","1.425","0.483","1.115","1.376","2.067","2.046","2.082","0.048","","2.063","1.173","1.216","1.097","1.217","1.436","1.102","1.386","1.136","1.173","2.363","1.209","1.097","2.048","0.999","1.436","2.355","1.799","1.184","1.520","2.456","1.500"
"Isuf_YS112.v1.contig_1968_pilon.g023290.t1","1.022","1.003","1.452","0.495","1.103","1.752","1.742","2.043","1.437","0.495","1.127","1.388","2.079","2.058","2.094","","0.048","2.075","1.186","1.229","1.109","1.229","1.448","1.115","1.398","1.148","1.186","2.375","1.221","1.109","2.060","1.011","1.448","2.367","1.811","1.196","1.532","2.468","1.512"
"Itin_YS146.v1.contig_123_pilon.g043300.t1","1.020","1.000","1.450","0.229","1.100","1.750","1.739","2.041","1.434","0.229","1.124","1.386","2.076","2.055","2.091","0.049","","2.072","1.183","1.226","1.106","1.226","1.445","1.112","1.396","1.145","1.183","2.372","1.218","1.107","2.057","1.009","1.445","2.364","1.808","1.193","1.529","2.466","1.509"
"Isuf_YS112.v1.contig_1968_pilon.g023320.t1","1.014","0.995","1.444","0.224","1.095","1.744","1.734","2.036","1.429","0.224","1.119","1.380","2.071","2.050","2.086","","0.049","2.067","1.178","1.221","1.101","1.221","1.440","1.107","1.391","1.140","1.178","2.367","1.213","1.101","2.052","1.003","1.440","2.359","1.803","1.188","1.524","2.460","1.504"
"Ctet_YS88.v1.contig_197_pilon.g106610.t1","0.994","0.975","1.424","0.000","1.075","1.724","1.714","2.015","1.408","","1.098","1.360","2.050","2.029","2.065","0.224","0.229","2.046","1.157","1.200","1.081","1.200","1.420","1.086","1.370","1.120","1.157","2.347","1.193","1.081","2.032","0.983","1.420","2.338","1.783","1.168","1.503","2.440","1.484"
"Ccajan.v1.contig_1862_pilon.g213860.t1","0.994","0.975","1.424","","1.075","1.724","1.714","2.015","1.408","0.000","1.098","1.360","2.050","2.029","2.065","0.224","0.229","2.046","1.157","1.200","1.081","1.200","1.420","1.086","1.370","1.120","1.157","2.347","1.193","1.081","2.032","0.983","1.420","2.338","1.783","1.168","1.503","2.440","1.484"
"Ctet_YS88.v1.contig_197_pilon.g106620.t1","1.015","0.996","1.445","0.008","1.096","1.745","1.735","2.036","1.430","","1.120","1.381","2.072","2.051","2.087","0.426","0.431","2.068","1.179","1.221","1.102","1.222","1.441","1.107","1.391","1.141","1.179","2.368","1.214","1.102","2.053","1.004","1.441","2.360","1.804","1.189","1.525","2.461","1.505"
"Ccajan.v1.contig_1862_pilon.g213850.t1","1.012","0.992","1.442","","1.092","1.742","1.731","2.033","1.426","0.008","1.116","1.378","2.068","2.047","2.083","0.422","0.427","2.064","1.175","1.218","1.098","1.218","1.437","1.104","1.388","1.137","1.175","2.364","1.210","1.099","2.049","1.001","1.437","2.356","1.800","1.185","1.521","2.457","1.501"
"Aameric_YS121.v1.contig_401_pilon.g192870.t1","","1.636","1.782","1.273","1.736","1.655","1.645","1.946","1.654","1.273","1.760","1.654","1.982","1.961","1.997","1.287","1.637","1.978","1.770","1.861","1.742","1.861","1.663","1.729","1.729","1.781","1.762","2.278","1.854","1.728","1.963","1.644","1.778","2.270","1.714","1.829","1.741","2.371","1.842"
"Aameric_YS121.v1.contig_401_pilon.g192920.t1","","1.522","1.669","1.160","1.622","1.542","1.532","1.833","1.541","1.160","1.646","1.541","1.868","1.847","1.883","1.173","1.523","1.864","1.656","1.748","1.628","1.748","1.549","1.616","1.615","1.667","1.648","2.164","1.740","1.614","1.849","1.531","1.664","2.156","1.600","1.715","1.628","2.258","1.728"
"Aameric_YS121.v1.contig_401_pilon.g192930.t1","","1.632","1.779","1.270","1.732","1.652","1.642","1.943","1.651","1.270","1.756","1.651","1.978","1.957","1.993","1.283","1.633","1.974","1.766","1.858","1.738","1.858","1.659","1.726","1.725","1.777","1.758","2.274","1.850","1.724","1.959","1.641","1.775","2.266","1.711","1.825","1.738","2.368","1.838"
"Aameric_YS121.v1.contig_401_pilon.g192910.t1","","1.526","1.672","1.163","1.626","1.545","1.535","1.836","1.544","1.163","1.650","1.544","1.872","1.851","1.887","1.177","1.527","1.868","1.660","1.751","1.632","1.751","1.553","1.619","1.619","1.671","1.652","2.168","1.744","1.618","1.853","1.534","1.668","2.160","1.604","1.719","1.631","2.261","1.732"
"Ctet_YS88.v1.contig_175_pilon.g057350.t1","1.160","1.497","1.644","0.000","1.597","1.517","1.507","1.808","1.516","","1.621","1.516","1.843","1.822","1.858","0.232","1.498","1.839","1.631","1.723","1.603","1.723","1.524","1.591","1.590","1.642","1.623","2.139","1.715","1.589","1.824","1.506","1.639","2.131","1.575","1.690","1.603","2.233","1.703"
"Ccajan.v1.contig_2016_pilon.g238390.t1","1.160","1.497","1.644","","1.597","1.517","1.507","1.808","1.516","0.000","1.621","1.516","1.843","1.822","1.858","0.232","1.498","1.839","1.631","1.723","1.603","1.723","1.524","1.591","1.590","1.642","1.623","2.139","1.715","1.589","1.824","1.506","1.639","2.131","1.575","1.690","1.603","2.233","1.703"
